profession,average_happiness
retired,107.94500848896435
homemaker,104.62459259259259
civil servant,103.77196911196911
service provider,103.75132132132133
craftsman,103.18366666666667
fisher,102.11813813813812
child,100.0
farmer,97.66372307692308
unemployed,74.87641577060933
