profession,Count,Average Income,Std Dev (Variability),Min Income,Max Income
child,12079,0.0,0.0,0.0,0.0
farmer,6722,1840.49,899.23,-130.31,4350.89
fisher,6264,3136.93,1516.59,856.34,8572.31
homemaker,6257,-53.61,210.87,-796.01,309.68
craftsman,5152,4800.82,1877.9,928.64,9827.98
retired,4847,1606.04,1654.15,-1777.26,6317.79
service provider,3867,6062.44,2362.25,2015.5,12543.6
civil servant,3313,6182.45,2339.0,1983.79,12192.98
unemployed,2493,12.34,163.95,-761.92,294.51
