Profession,F,M,X,Total
child,58.04950495049505,57.37623762376238,4.1683168316831685,119.5940594059406
farmer,32.504950495049506,33.16831683168317,0.8811881188118812,66.55445544554456
fisher,31.22772277227723,28.08910891089109,2.702970297029703,62.01980198019802
homemaker,28.613861386138613,29.514851485148515,3.8217821782178216,61.95049504950495
craftsman,23.02970297029703,25.237623762376238,2.742574257425743,51.00990099009901
retired,21.94,24.46,2.07,48.470000000000006
service provider,17.554455445544555,19.336633663366335,1.396039603960396,38.28712871287129
civil servant,15.663366336633663,16.544554455445546,0.594059405940594,32.8019801980198
unemployed,12.455445544554456,11.653465346534654,0.5742574257425742,24.683168316831683
