year,profession,sex,count
4,fisher,F,23
4,fisher,M,20
4,fisher,X,2
4,homemaker,F,35
4,homemaker,M,33
4,homemaker,X,4
4,retired,F,13
4,retired,M,26
4,retired,X,1
4,service provider,F,16
4,service provider,M,22
4,service provider,X,3
4,unemployed,F,24
4,unemployed,M,18
4,unemployed,X,1
5,child,F,51
5,child,M,50
5,child,X,6
5,civil servant,F,22
5,civil servant,M,18
5,civil servant,X,2
5,craftsman,F,20
5,craftsman,M,24
5,craftsman,X,3
5,farmer,F,38
5,farmer,M,37
5,fisher,F,23
5,fisher,M,21
5,fisher,X,2
5,homemaker,F,33
5,homemaker,M,35
5,homemaker,X,4
5,retired,F,14
5,retired,M,24
5,retired,X,1
5,service provider,F,16
5,service provider,M,22
5,service provider,X,3
5,unemployed,F,24
5,unemployed,M,19
5,unemployed,X,1
6,child,F,52
6,child,M,45
6,child,X,6
6,civil servant,F,22
6,civil servant,M,20
6,civil servant,X,2
6,craftsman,F,20
6,craftsman,M,25
6,craftsman,X,2
6,farmer,F,37
6,farmer,M,38
6,fisher,F,22
6,fisher,M,21
6,fisher,X,2
6,homemaker,F,33
6,homemaker,M,32
6,homemaker,X,4
6,retired,F,18
6,retired,M,26
6,retired,X,2
6,service provider,F,16
6,service provider,M,22
6,service provider,X,3
6,unemployed,F,23
6,unemployed,M,20
6,unemployed,X,1
7,child,F,51
7,child,M,43
7,child,X,5
7,civil servant,F,21
7,civil servant,M,20
7,civil servant,X,2
7,craftsman,F,20
7,craftsman,M,25
7,craftsman,X,2
7,farmer,F,36
7,farmer,M,39
7,fisher,F,23
7,fisher,M,20
7,fisher,X,2
7,homemaker,F,33
7,homemaker,M,33
7,homemaker,X,6
7,retired,F,18
7,retired,M,26
7,retired,X,2
7,service provider,F,17
7,service provider,M,22
7,service provider,X,3
7,unemployed,F,23
7,unemployed,M,20
7,unemployed,X,1
8,child,F,46
8,child,M,44
8,child,X,5
8,civil servant,F,22
8,civil servant,M,21
8,civil servant,X,2
8,craftsman,F,20
8,craftsman,M,25
8,craftsman,X,2
8,farmer,F,37
8,farmer,M,39
8,fisher,F,24
8,fisher,M,20
8,fisher,X,2
8,homemaker,F,32
8,homemaker,M,32
8,homemaker,X,6
8,retired,F,20
8,retired,M,28
8,retired,X,1
8,service provider,F,18
8,service provider,M,20
8,service provider,X,3
8,unemployed,F,24
8,unemployed,M,20
8,unemployed,X,1
9,child,F,46
9,child,M,41
9,child,X,5
9,civil servant,F,23
9,civil servant,M,21
9,civil servant,X,1
9,craftsman,F,19
9,craftsman,M,25
9,craftsman,X,2
9,farmer,F,36
9,farmer,M,39
9,fisher,F,24
9,fisher,M,21
9,fisher,X,2
9,homemaker,F,31
9,homemaker,M,32
9,homemaker,X,6
9,retired,F,22
9,retired,M,27
9,retired,X,2
9,service provider,F,19
9,service provider,M,20
9,service provider,X,3
9,unemployed,F,24
9,unemployed,M,20
9,unemployed,X,1
10,child,F,44
10,child,M,42
10,child,X,4
10,civil servant,F,22
10,civil servant,M,20
10,civil servant,X,1
10,craftsman,F,19
10,craftsman,M,24
10,craftsman,X,2
10,farmer,F,36
10,farmer,M,38
10,farmer,X,1
10,fisher,F,25
10,fisher,M,21
10,fisher,X,2
10,homemaker,F,30
10,homemaker,M,33
10,homemaker,X,6
10,retired,F,26
10,retired,M,30
10,retired,X,2
10,service provider,F,18
10,service provider,M,20
10,service provider,X,3
10,unemployed,F,24
10,unemployed,M,18
10,unemployed,X,1
11,child,F,39
11,child,M,41
11,child,X,4
11,civil servant,F,23
11,civil servant,M,20
11,civil servant,X,1
11,craftsman,F,22
11,craftsman,M,24
11,craftsman,X,2
11,farmer,F,36
11,farmer,M,39
11,farmer,X,1
11,fisher,F,25
11,fisher,M,21
11,fisher,X,2
11,homemaker,F,32
11,homemaker,M,34
11,homemaker,X,6
11,retired,F,30
11,retired,M,27
11,retired,X,2
11,service provider,F,16
11,service provider,M,20
11,service provider,X,3
11,unemployed,F,22
11,unemployed,M,18
11,unemployed,X,1
12,child,F,40
12,child,M,36
12,child,X,4
12,civil servant,F,23
12,civil servant,M,22
12,civil servant,X,1
12,craftsman,F,23
12,craftsman,M,25
12,craftsman,X,2
12,farmer,F,34
12,farmer,M,40
12,farmer,X,1
12,fisher,F,25
12,fisher,M,22
12,fisher,X,2
12,homemaker,F,30
12,homemaker,M,33
12,homemaker,X,6
12,retired,F,35
12,retired,M,29
12,retired,X,2
12,service provider,F,14
12,service provider,M,20
12,service provider,X,3
12,unemployed,F,21
12,unemployed,M,16
12,unemployed,X,1
13,child,F,37
13,child,M,38
13,child,X,3
13,civil servant,F,22
13,civil servant,M,23
13,civil servant,X,1
13,craftsman,F,24
13,craftsman,M,25
13,craftsman,X,3
13,farmer,F,36
13,farmer,M,39
13,farmer,X,1
13,fisher,F,26
13,fisher,M,23
13,fisher,X,2
13,homemaker,F,30
13,homemaker,M,32
13,homemaker,X,6
13,retired,F,34
13,retired,M,28
13,retired,X,1
13,service provider,F,16
13,service provider,M,21
13,service provider,X,3
13,unemployed,F,18
13,unemployed,M,13
13,unemployed,X,2
14,child,F,38
14,child,M,37
14,child,X,3
14,civil servant,F,22
14,civil servant,M,23
14,civil servant,X,1
14,craftsman,F,25
14,craftsman,M,25
14,craftsman,X,3
14,farmer,F,36
14,farmer,M,39
14,farmer,X,1
14,fisher,F,27
14,fisher,M,24
14,fisher,X,2
14,homemaker,F,29
14,homemaker,M,30
14,homemaker,X,6
14,retired,F,37
14,retired,M,28
14,service provider,F,16
14,service provider,M,21
14,service provider,X,3
14,unemployed,F,15
14,unemployed,M,13
14,unemployed,X,2
15,child,F,41
15,child,M,37
15,child,X,4
15,civil servant,F,22
15,civil servant,M,22
15,civil servant,X,1
15,craftsman,F,25
15,craftsman,M,26
15,craftsman,X,3
15,farmer,F,36
15,farmer,M,40
15,farmer,X,2
15,fisher,F,28
15,fisher,M,23
15,fisher,X,2
15,homemaker,F,29
15,homemaker,M,29
15,homemaker,X,6
15,retired,F,32
15,retired,M,26
15,service provider,F,16
15,service provider,M,21
15,service provider,X,3
15,unemployed,F,15
15,unemployed,M,13
15,unemployed,X,1
16,child,F,42
16,child,M,37
16,child,X,5
16,civil servant,F,22
16,civil servant,M,21
16,civil servant,X,1
16,craftsman,F,24
16,craftsman,M,27
16,craftsman,X,3
16,farmer,F,36
16,farmer,M,39
16,farmer,X,2
16,fisher,F,28
16,fisher,M,24
16,fisher,X,2
16,homemaker,F,30
16,homemaker,M,28
16,homemaker,X,6
16,retired,F,26
16,retired,M,30
16,retired,X,1
16,service provider,F,15
16,service provider,M,20
16,service provider,X,2
16,unemployed,F,16
16,unemployed,M,13
16,unemployed,X,1
17,child,F,42
17,child,M,38
17,child,X,5
17,civil servant,F,23
17,civil servant,M,20
17,civil servant,X,1
17,craftsman,F,23
17,craftsman,M,28
17,craftsman,X,3
17,farmer,F,33
17,farmer,M,38
17,farmer,X,2
17,fisher,F,28
17,fisher,M,23
17,fisher,X,1
17,homemaker,F,31
17,homemaker,M,28
17,homemaker,X,6
17,retired,F,29
17,retired,M,30
17,retired,X,2
17,service provider,F,15
17,service provider,M,20
17,service provider,X,2
17,unemployed,F,15
17,unemployed,M,14
17,unemployed,X,1
18,child,F,45
18,child,M,40
18,child,X,4
18,civil servant,F,23
18,civil servant,M,20
18,civil servant,X,1
18,craftsman,F,23
18,craftsman,M,28
18,craftsman,X,3
18,farmer,F,33
18,farmer,M,38
18,farmer,X,2
18,fisher,F,28
18,fisher,M,25
18,fisher,X,1
18,homemaker,F,30
18,homemaker,M,28
18,homemaker,X,7
18,retired,F,28
18,retired,M,26
18,retired,X,2
18,service provider,F,14
18,service provider,M,19
18,service provider,X,2
18,unemployed,F,15
18,unemployed,M,14
18,unemployed,X,1
19,child,F,47
19,child,M,40
19,child,X,4
19,civil servant,F,21
19,civil servant,M,21
19,civil servant,X,1
19,craftsman,F,23
19,craftsman,M,29
19,craftsman,X,3
19,farmer,F,34
19,farmer,M,38
19,farmer,X,2
19,fisher,F,27
19,fisher,M,25
19,fisher,X,1
19,homemaker,F,31
19,homemaker,M,28
19,homemaker,X,7
19,retired,F,29
19,retired,M,24
19,retired,X,2
19,service provider,F,14
19,service provider,M,20
19,service provider,X,2
19,unemployed,F,13
19,unemployed,M,14
19,unemployed,X,1
20,child,F,47
20,child,M,44
20,child,X,4
20,civil servant,F,21
20,civil servant,M,20
20,civil servant,X,1
20,craftsman,F,23
20,craftsman,M,29
20,craftsman,X,3
20,farmer,F,32
20,farmer,M,35
20,farmer,X,2
20,fisher,F,28
20,fisher,M,24
20,fisher,X,1
20,homemaker,F,29
20,homemaker,M,28
20,homemaker,X,6
20,retired,F,32
20,retired,M,26
20,retired,X,4
20,service provider,F,14
20,service provider,M,20
20,service provider,X,1
20,unemployed,F,13
20,unemployed,M,14
20,unemployed,X,1
21,child,F,47
21,child,M,49
21,child,X,4
21,civil servant,F,20
21,civil servant,M,18
21,civil servant,X,1
21,craftsman,F,25
21,craftsman,M,27
21,craftsman,X,4
21,farmer,F,32
21,farmer,M,36
21,farmer,X,2
21,fisher,F,29
21,fisher,M,23
21,fisher,X,2
21,homemaker,F,27
21,homemaker,M,25
21,homemaker,X,4
21,retired,F,31
21,retired,M,29
21,retired,X,4
21,service provider,F,14
21,service provider,M,21
21,service provider,X,1
21,unemployed,F,13
21,unemployed,M,14
21,unemployed,X,1
22,child,F,49
22,child,M,53
22,child,X,4
22,civil servant,F,18
22,civil servant,M,18
22,civil servant,X,1
22,craftsman,F,25
22,craftsman,M,26
22,craftsman,X,4
22,farmer,F,32
22,farmer,M,35
22,farmer,X,2
22,fisher,F,29
22,fisher,M,24
22,fisher,X,2
22,homemaker,F,27
22,homemaker,M,24
22,homemaker,X,4
22,retired,F,29
22,retired,M,30
22,retired,X,4
22,service provider,F,14
22,service provider,M,22
22,service provider,X,1
22,unemployed,F,11
22,unemployed,M,14
22,unemployed,X,1
23,child,F,49
23,child,M,57
23,child,X,4
23,civil servant,F,17
23,civil servant,M,18
23,civil servant,X,1
23,craftsman,F,24
23,craftsman,M,25
23,craftsman,X,3
23,farmer,F,31
23,farmer,M,32
23,farmer,X,2
23,fisher,F,28
23,fisher,M,24
23,fisher,X,2
23,homemaker,F,28
23,homemaker,M,24
23,homemaker,X,4
23,retired,F,30
23,retired,M,33
23,retired,X,6
23,service provider,F,14
23,service provider,M,22
23,service provider,X,1
23,unemployed,F,11
23,unemployed,M,14
24,child,F,49
24,child,M,61
24,child,X,5
24,civil servant,F,16
24,civil servant,M,18
24,civil servant,X,1
24,craftsman,F,23
24,craftsman,M,24
24,craftsman,X,3
24,farmer,F,32
24,farmer,M,30
24,farmer,X,2
24,fisher,F,28
24,fisher,M,24
24,fisher,X,2
24,homemaker,F,28
24,homemaker,M,23
24,homemaker,X,4
24,retired,F,28
24,retired,M,35
24,retired,X,5
24,service provider,F,14
24,service provider,M,22
24,service provider,X,1
24,unemployed,F,11
24,unemployed,M,14
25,child,F,51
25,child,M,64
25,child,X,4
25,civil servant,F,15
25,civil servant,M,18
25,civil servant,X,1
25,craftsman,F,22
25,craftsman,M,23
25,craftsman,X,4
25,farmer,F,33
25,farmer,M,29
25,farmer,X,2
25,fisher,F,28
25,fisher,M,23
25,fisher,X,2
25,homemaker,F,26
25,homemaker,M,23
25,homemaker,X,4
25,retired,F,31
25,retired,M,34
25,retired,X,5
25,service provider,F,14
25,service provider,M,22
25,service provider,X,1
25,unemployed,F,11
25,unemployed,M,13
26,child,F,53
26,child,M,67
26,child,X,4
26,civil servant,F,16
26,civil servant,M,18
26,civil servant,X,1
26,craftsman,F,22
26,craftsman,M,24
26,craftsman,X,4
26,farmer,F,33
26,farmer,M,29
26,farmer,X,2
26,fisher,F,28
26,fisher,M,23
26,fisher,X,2
26,homemaker,F,26
26,homemaker,M,23
26,homemaker,X,4
26,retired,F,26
26,retired,M,29
26,retired,X,5
26,service provider,F,14
26,service provider,M,22
26,service provider,X,1
26,unemployed,F,11
26,unemployed,M,14
27,child,F,52
27,child,M,73
27,child,X,4
27,civil servant,F,16
27,civil servant,M,18
27,civil servant,X,1
27,craftsman,F,23
27,craftsman,M,24
27,craftsman,X,4
27,farmer,F,34
27,farmer,M,29
27,farmer,X,2
27,fisher,F,29
27,fisher,M,23
27,fisher,X,2
27,homemaker,F,26
27,homemaker,M,23
27,homemaker,X,4
27,retired,F,21
27,retired,M,23
27,retired,X,5
27,service provider,F,14
27,service provider,M,23
27,service provider,X,1
27,unemployed,F,11
27,unemployed,M,14
28,child,F,53
28,child,M,75
28,child,X,5
28,civil servant,F,16
28,civil servant,M,18
28,civil servant,X,1
28,craftsman,F,23
28,craftsman,M,24
28,craftsman,X,4
